Ticker,Date,Price,H_value
APD,2010-01-31,75.96,0.2154569230835697
PFE,2010-01-31,18.66,-0.3782244590733206
WMB,2010-01-31,20.84,-0.0724937401265724
DLR,2010-01-31,50.15,-0.17828292649405297
VZ,2010-01-31,29.33,-0.17674782117697763
CL,2010-01-31,81.15,0.06889702287055155
DHR,2010-01-31,71.35,-0.007976484404954179
DHR,2010-02-28,73.97,-0.074856350517844
VZ,2010-02-28,28.93,-0.24521934503502937
JNJ,2010-02-28,63.0,-0.15239733482096693
APD,2010-02-28,68.58,-0.01844576389140195
WMB,2010-02-28,21.54,-0.12984698605288708
PFE,2010-02-28,17.84,0.15070736667335913
DHR,2010-03-31,75.29,-0.44004390894023676
JNJ,2010-03-31,65.2,0.10190467887584456
VZ,2010-03-31,31.02,-0.041031074406355214
APD,2010-03-31,73.95,-0.01714745194657926
WMB,2010-03-31,23.1,-0.06472660182050415
JNJ,2010-04-30,64.3,-0.44706829691284106
WMB,2010-04-30,23.61,-0.22359637771057222
APD,2010-04-30,76.78,0.08777350114151973
VZ,2010-04-30,28.9,-0.2474847702251381
WMB,2010-05-31,19.75,-0.08367192995204417
JNJ,2010-05-31,58.3,-0.38768230043909174
VZ,2010-05-31,27.52,-0.3905451891323848
APD,2010-05-31,69.06,0.030931585130884908
VZ,2010-06-30,28.02,-1.208182929496906
APD,2010-06-30,64.81,0.10363710488373651
WMB,2010-06-30,18.28,0.06520898826434732
JNJ,2010-06-30,59.06,-0.023048349829068972
VZ,2010-07-31,29.06,-0.3129639649341308
WMB,2010-07-31,19.41,0.181058703834819
JNJ,2010-07-31,58.09,-0.30737336681406885
APD,2010-07-31,72.58,0.18754485818082844
WMB,2010-08-31,18.17,0.2774890524152977
JNJ,2010-08-31,57.02,-0.28059602814685447
APD,2010-08-31,74.03,0.40969606881756737
VZ,2010-08-31,29.53,-0.5594311819729865
JNJ,2010-09-30,61.96,0.05098013274243418
VZ,2010-09-30,32.59,-0.37754045568565053
