contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
IBM171117C00075000,IBM,2017-11-17,75.00,call,38.35,72.28,70.45,4,74.10,5,0,0,2017-11-15,4.20571,0.98982,0.00059,-0.31226,0.00295,0.00402
IBM171117P00075000,IBM,2017-11-17,75.00,put,0.00,0.01,0.00,0,0.03,50,0,0,2017-11-15,3.06259,-0.00102,0.00010,-0.02852,0.00037,-0.00001
IBM171117C00080000,IBM,2017-11-17,80.00,call,35.83,67.18,65.15,4,69.20,5,0,0,2017-11-15,3.43164,0.99422,0.00044,-0.15627,0.00179,0.00433
IBM171117P00080000,IBM,2017-11-17,80.00,put,0.00,0.01,0.00,0,0.03,50,0,0,2017-11-15,2.78577,-0.00112,0.00012,-0.02827,0.00041,-0.00001
IBM171117C00085000,IBM,2017-11-17,85.00,call,33.36,62.17,60.30,4,64.05,5,0,0,2017-11-15,3.06229,0.99435,0.00048,-0.13710,0.00176,0.00461
IBM171117P00085000,IBM,2017-11-17,85.00,put,0.00,0.01,0.00,0,0.03,50,0,0,2017-11-15,2.52495,-0.00123,0.00015,-0.02797,0.00044,-0.00001
IBM171117C00090000,IBM,2017-11-17,90.00,call,30.77,57.10,55.25,4,58.95,5,0,0,2017-11-15,2.07672,1.00000,0.00000,-0.00286,0.00000,0.00493
IBM171117P00090000,IBM,2017-11-17,90.00,put,0.01,0.01,0.00,0,0.03,50,0,50,2017-11-15,2.27831,-0.00136,0.00018,-0.02766,0.00049,-0.00001
IBM171117C00095000,IBM,2017-11-17,95.00,call,28.43,52.15,50.25,3,54.05,5,0,0,2017-11-15,2.37999,0.99492,0.00057,-0.09802,0.00160,0.00516
IBM171117P00095000,IBM,2017-11-17,95.00,put,0.02,0.01,0.00,0,0.01,30,0,2927,2017-11-15,2.04402,-0.00151,0.00022,-0.02730,0.00053,-0.00001
IBM171117C00100000,IBM,2017-11-17,100.00,call,0.00,47.23,45.25,4,49.20,5,0,0,2017-11-15,2.42968,0.98733,0.00124,-0.21967,0.00357,0.00537
IBM171117P00100000,IBM,2017-11-17,100.00,put,0.02,0.01,0.00,0,0.01,28,0,1357,2017-11-15,1.82086,-0.00169,0.00027,-0.02693,0.00059,-0.00001
IBM171117C00105000,IBM,2017-11-17,105.00,call,23.47,42.05,40.05,9,44.05,5,0,0,2017-11-15,1.53117,1.00000,0.00000,-0.00334,0.00000,0.00575
IBM171117P00105000,IBM,2017-11-17,105.00,put,0.01,0.01,0.00,0,0.01,16,0,908,2017-11-15,1.60714,-0.00190,0.00035,-0.02649,0.00066,-0.00002
IBM171117C00110000,IBM,2017-11-17,110.00,call,0.00,37.15,35.20,4,39.10,5,0,0,2017-11-15,1.64174,0.99291,0.00110,-0.09151,0.00215,0.00597
IBM171117P00110000,IBM,2017-11-17,110.00,put,0.01,0.01,0.00,0,0.03,50,0,71,2017-11-15,1.40196,-0.00217,0.00045,-0.02599,0.00074,-0.00002
IBM171117C00115000,IBM,2017-11-17,115.00,call,0.00,32.23,30.35,4,34.10,5,0,0,2017-11-15,1.63732,0.98179,0.00251,-0.20279,0.00487,0.00615
IBM171117P00115000,IBM,2017-11-17,115.00,put,0.01,0.01,0.00,0,0.03,31,0,311,2017-11-15,1.20425,-0.00250,0.00059,-0.02544,0.00085,-0.00002
IBM171117C00120000,IBM,2017-11-17,120.00,call,15.89,27.57,26.75,6,28.40,6,0,3,2017-11-15,1.78122,0.94638,0.00562,-0.53221,0.01187,0.00612
IBM171117P00120000,IBM,2017-11-17,120.00,put,0.01,0.01,0.00,0,0.02,46,0,218,2017-11-15,1.01295,-0.00294,0.00082,-0.02479,0.00098,-0.00002
IBM171117C00125000,IBM,2017-11-17,125.00,call,13.44,22.30,21.75,11,22.85,2,0,0,2017-11-15,1.24328,0.96529,0.00567,-0.26355,0.00836,0.00656
IBM171117P00125000,IBM,2017-11-17,125.00,put,0.01,0.01,0.00,0,0.01,30,0,380,2017-11-15,0.82698,-0.00356,0.00119,-0.02401,0.00116,-0.00003
IBM171117C00127000,IBM,2017-11-17,127.00,call,0.00,20.60,19.80,11,21.40,1,0,0,2017-11-15,1.39571,0.92981,0.00885,-0.51489,0.01465,0.00637
IBM171117P00127000,IBM,2017-11-17,127.00,put,0.00,0.01,0.00,0,0.03,33,0,0,2017-11-15,0.75381,-0.00388,0.00141,-0.02365,0.00126,-0.00003
IBM171117C00128000,IBM,2017-11-17,128.00,call,0.00,19.40,18.60,11,20.20,2,0,0,2017-11-15,1.18779,0.94808,0.00822,-0.34744,0.01157,0.00658
IBM171117P00128000,IBM,2017-11-17,128.00,put,0.00,0.01,0.00,0,0.03,29,0,0,2017-11-15,0.71738,-0.00406,0.00154,-0.02344,0.00131,-0.00003
IBM171117C00129000,IBM,2017-11-17,129.00,call,0.00,18.80,17.85,11,19.75,5,0,0,2017-11-15,1.39800,0.90677,0.01095,-0.63798,0.01815,0.00628
IBM171117P00129000,IBM,2017-11-17,129.00,put,0.00,0.01,0.00,0,0.03,25,0,0,2017-11-15,0.68125,-0.00427,0.00169,-0.02326,0.00137,-0.00003
IBM171117C00130000,IBM,2017-11-17,130.00,call,10.76,17.73,16.65,26,18.80,16,0,0,2017-11-15,1.29815,0.90902,0.01158,-0.58220,0.01783,0.00636
IBM171117P00130000,IBM,2017-11-17,130.00,put,0.01,0.01,0.00,0,0.01,1,0,963,2017-11-15,0.64512,-0.00449,0.00187,-0.02304,0.00143,-0.00004
IBM171117C00131000,IBM,2017-11-17,131.00,call,0.00,16.88,15.75,11,18.00,11,0,0,2017-11-15,1.31538,0.89248,0.01291,-0.66600,0.02014,0.00627
IBM171117P00131000,IBM,2017-11-17,131.00,put,0.01,0.01,0.00,0,0.03,16,0,1,2017-11-15,0.60915,-0.00473,0.00208,-0.02282,0.00150,-0.00004
IBM171117C00132000,IBM,2017-11-17,132.00,call,0.00,15.85,14.75,11,16.95,11,0,0,2017-11-15,1.23794,0.89036,0.01392,-0.63582,0.02043,0.00631
IBM171117P00132000,IBM,2017-11-17,132.00,put,0.02,0.01,0.00,0,0.03,16,0,5,2017-11-15,0.57317,-0.00500,0.00232,-0.02256,0.00158,-0.00004
IBM171117C00133000,IBM,2017-11-17,133.00,call,14.45,14.18,14.05,15,14.30,15,1,0,2017-11-15,0.70076,0.97556,0.00751,-0.11349,0.00624,0.00709
IBM171117P00133000,IBM,2017-11-17,133.00,put,0.00,0.01,0.00,0,0.03,12,0,0,2017-11-15,0.53735,-0.00531,0.00261,-0.02230,0.00166,-0.00004
IBM171117C00134000,IBM,2017-11-17,134.00,call,0.00,13.65,12.65,12,14.65,16,0,0,2017-11-15,1.01478,0.89975,0.01591,-0.48948,0.01915,0.00650
