PERMNO,date,TICKER,PRC
10104,2010-01-29,ORCL,23.06000
10104,2010-02-26,ORCL,24.65000
10104,2010-03-31,ORCL,25.71000
10104,2010-04-30,ORCL,25.86750
10104,2010-05-28,ORCL,22.57000
10104,2010-06-30,ORCL,21.46000
10104,2010-07-30,ORCL,23.64000
10104,2010-08-31,ORCL,21.84500
10104,2010-09-30,ORCL,26.85000
10104,2010-10-29,ORCL,29.38000
10104,2010-11-30,ORCL,27.04500
10104,2010-12-31,ORCL,31.30000
10104,2011-01-31,ORCL,32.03000
10104,2011-02-28,ORCL,32.90000
10104,2011-03-31,ORCL,33.43250
10104,2011-04-29,ORCL,35.96000
10104,2011-05-31,ORCL,34.22000
10104,2011-06-30,ORCL,32.91000
10104,2011-07-29,ORCL,30.58000
10104,2011-08-31,ORCL,28.07000
10104,2011-09-30,ORCL,28.74000
10104,2011-10-31,ORCL,32.77000
10104,2011-11-30,ORCL,31.35000
10104,2011-12-30,ORCL,25.65000
10104,2012-01-31,ORCL,28.21000
10104,2012-02-29,ORCL,29.25500
10104,2012-03-30,ORCL,29.16000
10104,2012-04-30,ORCL,29.40000
10104,2012-05-31,ORCL,26.47000
10104,2012-06-29,ORCL,29.70000
10104,2012-07-31,ORCL,30.20000
10104,2012-08-31,ORCL,31.65000
10104,2012-09-28,ORCL,31.46000
10104,2012-10-31,ORCL,31.08000
10104,2012-11-30,ORCL,32.17500
10104,2012-12-31,ORCL,33.32000
10104,2013-01-31,ORCL,35.51000
10104,2013-02-28,ORCL,34.24000
10104,2013-03-28,ORCL,32.33000
10104,2013-04-30,ORCL,32.78000
10104,2013-05-31,ORCL,33.78000
10104,2013-06-28,ORCL,30.71000
10104,2013-07-31,ORCL,32.35000
10104,2013-08-30,ORCL,31.86000
10104,2013-09-30,ORCL,33.17000
10104,2013-10-31,ORCL,33.50000
10104,2013-11-29,ORCL,35.29000
10104,2013-12-31,ORCL,38.26000
10104,2014-01-31,ORCL,36.90000
10104,2014-02-28,ORCL,39.11000
10104,2014-03-31,ORCL,40.91000
10104,2014-04-30,ORCL,40.88000
10104,2014-05-30,ORCL,42.02000
10104,2014-06-30,ORCL,40.53000
10104,2014-07-31,ORCL,40.39000
10104,2014-08-29,ORCL,41.53000
10104,2014-09-30,ORCL,38.28000
10104,2014-10-31,ORCL,39.05000
10104,2014-11-28,ORCL,42.41000
10104,2014-12-31,ORCL,44.97000
10104,2015-01-30,ORCL,41.89000
10104,2015-02-27,ORCL,43.82000
10104,2015-03-31,ORCL,43.15000
10104,2015-04-30,ORCL,43.62000
10104,2015-05-29,ORCL,43.49000
10104,2015-06-30,ORCL,40.30000
10104,2015-07-31,ORCL,39.94000
10104,2015-08-31,ORCL,37.09000
10104,2015-09-30,ORCL,36.12000
10104,2015-10-30,ORCL,38.84000
10104,2015-11-30,ORCL,38.97000
10104,2015-12-31,ORCL,36.53000
10104,2016-01-29,ORCL,36.31000
10104,2016-02-29,ORCL,36.78000
10104,2016-03-31,ORCL,40.91000
10104,2016-04-29,ORCL,39.86000
10104,2016-05-31,ORCL,40.20000
10104,2016-06-30,ORCL,40.93000
10104,2016-07-29,ORCL,41.04000
10104,2016-08-31,ORCL,41.22000
10104,2016-09-30,ORCL,39.28000
10104,2016-10-31,ORCL,38.42000
10104,2016-11-30,ORCL,40.19000
10104,2016-12-30,ORCL,38.45000
10104,2017-01-31,ORCL,40.11000
10104,2017-02-28,ORCL,42.59000
10104,2017-03-31,ORCL,44.61000
10104,2017-04-28,ORCL,44.96000
10104,2017-05-31,ORCL,45.39000
10104,2017-06-30,ORCL,50.14000
10104,2017-07-31,ORCL,49.93000
10104,2017-08-31,ORCL,50.33000
10104,2017-09-29,ORCL,48.35000
