Ticker,startDate,endDate
ABBV,2023-01-31,2023-12-31
ABT,2023-01-31,2023-12-31
ADP,2023-01-31,2023-12-31
AMD,2023-01-31,2023-01-31
AMT,2023-01-31,2023-06-30
AMZN,2023-01-31,2023-12-31
APD,2023-01-31,2023-12-31
AVGO,2023-01-31,2023-02-28
AXP,2023-01-31,2023-12-31
BA,2023-01-31,2023-01-31
BAC,2023-01-31,2023-12-31
CAT,2023-01-31,2023-12-31
CBRE,2023-01-31,2023-02-28
CCI,2023-01-31,2023-01-31
CEG,2023-01-31,2023-01-31
CL,2023-01-31,2023-12-31
CMCSA,2023-01-31,2023-12-31
COP,2023-01-31,2023-12-31
COST,2023-01-31,2023-05-31
CRM,2023-01-31,2023-01-31
CSCO,2023-01-31,2023-01-31
DD,2023-01-31,2023-12-31
DLR,2023-01-31,2023-01-31
DOW,2023-01-31,2023-12-31
DUK,2023-01-31,2023-01-31
EA,2023-01-31,2023-12-31
EQIX,2023-01-31,2023-12-31
ETN,2023-01-31,2023-12-31
GE,2023-01-31,2023-12-31
GOOGL,2023-01-31,2023-12-31
GS,2023-01-31,2023-12-31
IBM,2023-01-31,2023-02-28
ISRG,2023-01-31,2023-12-31
JNJ,2023-01-31,2023-12-31
JPM,2023-01-31,2023-12-31
KMB,2023-01-31,2023-12-31
KMI,2023-01-31,2023-12-31
KO,2023-01-31,2023-12-31
KVUE,2023-05-31,2023-12-31
LIN,2023-01-31,2023-12-31
LLY,2023-01-31,2023-12-31
LNG,2023-01-31,2023-12-31
LOW,2023-01-31,2023-12-31
MA,2023-01-31,2023-12-31
MCD,2023-01-31,2023-12-31
MDLZ,2023-01-31,2023-12-31
MLM,2023-01-31,2023-12-31
MO,2023-07-31,2023-12-31
MRK,2023-01-31,2023-12-31
MS,2023-01-31,2023-12-31
MSFT,2023-01-31,2023-02-28
NEE,2023-01-31,2023-01-31
NEM,2023-01-31,2023-12-31
NFLX,2023-01-31,2023-12-31
NOW,2023-01-31,2023-01-31
NVDA,2023-01-31,2023-12-31
O,2023-01-31,2023-01-31
OKE,2023-01-31,2023-12-31
ORCL,2023-01-31,2023-01-31
PEP,2023-01-31,2023-12-31
PFE,2023-01-31,2023-12-31
PG,2023-01-31,2023-12-31
PLD,2023-01-31,2023-12-31
PM,2023-01-31,2023-12-31
PSA,2023-01-31,2023-01-31
PSX,2023-01-31,2023-12-31
RBLX,2023-01-31,2023-12-31
SHW,2023-09-30,2023-12-31
SLB,2023-01-31,2023-12-31
SO,2023-01-31,2023-01-31
SPG,2023-01-31,2023-01-31
SPGI,2023-01-31,2023-12-31
SRE,2023-01-31,2023-01-31
T,2023-01-31,2023-12-31
TJX,2023-01-31,2023-12-31
TMO,2023-01-31,2023-12-31
TMUS,2023-01-31,2023-12-31
TSLA,2023-01-31,2023-12-31
UBER,2023-01-31,2023-12-31
UNH,2023-01-31,2023-12-31
VMC,2023-01-31,2023-03-31
WELL,2023-01-31,2023-01-31
WFC,2023-01-31,2023-12-31
WMB,2023-01-31,2023-12-31
XOM,2023-01-31,2023-12-31
