ticker,options_volume,ticker_type,options_volume_call,options_volume_put,volume_put_call_ratio,open_interest,open_interest_call,open_interest_put,open_interest_put_call_ratio,iv_rank,implied_volatility_30d,ticker_name,average_daily_volume_percent,total_options_volume
TSLA,1165487.0,STOCK,664610.0,500877.0,0.7536404808835256,7459451.0,4039008.0,3420443.0,0.8468522468883448,56.15384615384615,61.16,"Tesla, Inc.",52.51,1165487.0
NVDA,1013873.0,STOCK,675574.0,338299.0,0.5007578740448863,21808455.0,11264476.0,10543979.0,0.9360381255195536,56.085584005612056,64.68,NVIDIA Corporation,23.32,1013873.0
SMCI,685029.0,STOCK,331827.0,353202.0,1.0644160963393576,3514776.0,1782304.0,1732472.0,0.9720406844174732,31.29268909688844,108.84,"Super Micro Computer, Inc.",76.9,685029.0
PLTR,335457.0,STOCK,213800.0,121657.0,0.569022450888681,3616906.0,2050346.0,1566560.0,0.7640466535891991,61.9076797385621,68.19,Palantir Technologies Inc.,27.96,335457.0
AMZN,319143.0,STOCK,250655.0,68488.0,0.2732361213620314,3636195.0,2095881.0,1540314.0,0.7349243587780031,28.39319470699432,29.64,"Amazon.com, Inc.",52.21,319143.0
META,246995.0,STOCK,186814.0,60181.0,0.3221439506675088,1994872.0,1134813.0,860059.0,0.7578861010580598,21.69014084507042,31.57,Meta Platforms (Facebook),44.74,246995.0
BABA,228484.0,STOCK,167483.0,61001.0,0.364222040445896,2645715.0,1779768.0,865947.0,0.4865504942217188,75.02198768689534,52.85,Alibaba Group Holding Limited,36.82,228484.0
LCID,197489.0,STOCK,47201.0,150288.0,3.1840003389758693,1407791.0,666547.0,741244.0,1.1120656157780322,50.655840099937535,96.05,"Lucid Group, Inc.",259.15,197489.0
NIO,185570.0,STOCK,161450.0,24120.0,0.1493960978631155,3049070.0,1923206.0,1125864.0,0.5854099872816536,43.614029894923775,89.99,NIO Inc.,122.33,185570.0
IBIT,179033.0,STOCK,122490.0,56543.0,0.4616131929137072,2464091.0,1573836.0,890255.0,0.5656593190141793,11.71833946400419,47.94,iShares Bitcoin Trust ETF,45.02,179033.0
AMD,165100.0,STOCK,121126.0,43974.0,0.3630434423658009,3649266.0,2013058.0,1636208.0,0.8127972467758008,26.31923959357588,42.26,"Advanced Micro Devices, Inc.",25.25,165100.0
GOOGL,155878.0,STOCK,109628.0,46250.0,0.4218812712080855,2670036.0,1550217.0,1119819.0,0.7223627401841162,39.17197452229298,28.06,Alphabet Inc.,35.85,155878.0
MSFT,142148.0,STOCK,96112.0,46036.0,0.4789828533377726,2257117.0,1335169.0,921948.0,0.690510339889557,33.02603036876356,22.68,Microsoft Corporation,32.29,142148.0
APP,137288.0,STOCK,87914.0,49374.0,0.5616170348294924,350852.0,215566.0,135286.0,0.6275850551571213,99.85270049099836,99.61,Applovin Corporation,177.27,137288.0
MSTR,135426.0,STOCK,77265.0,58161.0,0.7527470394098233,2169188.0,1287881.0,881307.0,0.6843077893066207,6.722635221738011,79.72,MicroStrategy Incorporated,27.53,135426.0
HOOD,130086.0,STOCK,101086.0,29000.0,0.2868844350355143,1500890.0,1002858.0,498032.0,0.4966126809578225,43.30561330561331,66.72,"Robinhood Markets, Inc.",51.34,130086.0
HIMS,112530.0,STOCK,80082.0,32448.0,0.4051846856971604,805781.0,374809.0,430972.0,1.149844320707347,54.95157763199,101.7,"Hims & Hers Health, Inc.",61.84,112530.0
F,105161.0,STOCK,83461.0,21700.0,0.260001677430177,2703046.0,1295552.0,1407494.0,1.0864048683495529,20.347300868252173,29.45,Ford Motor Company,59.28,105161.0
GOOG,96011.0,STOCK,67432.0,28579.0,0.4238195515482263,1308106.0,817361.0,490745.0,0.6004017808532582,38.69936034115141,28.17,Alphabet Inc.,47.81,96011.0
